### all_gather_perf  NCCL_P2P_LEVEL=SYS
# nccl-tests version 2.17.6 nccl-headers=22501 nccl-library=22703
# Collective test starting: all_gather_perf
# nThread 1 nGpus 4 minBytes 8 maxBytes 1073741824 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#  Rank  0 Group  0 Pid     96 on 81e86d6fb9c9 device  0 [0000:01:00] NVIDIA GeForce RTX 4090
#  Rank  1 Group  0 Pid     96 on 81e86d6fb9c9 device  1 [0000:81:00] NVIDIA GeForce RTX 4090
#  Rank  2 Group  0 Pid     96 on 81e86d6fb9c9 device  2 [0000:c1:00] NVIDIA GeForce RTX 4090
#  Rank  3 Group  0 Pid     96 on 81e86d6fb9c9 device  3 [0000:c2:00] NVIDIA GeForce RTX 4090
NCCL version 2.27.3+cuda12.9
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
     8388608        524288     float     sum      -1  2026.71    4.14    3.10       0  1797.41    4.67    3.50       0
    16777216       1048576     float     sum      -1  4091.68    4.10    3.08       0  3885.67    4.32    3.24       0
    33554432       2097152     float     sum      -1  7510.38    4.47    3.35       0  7528.48    4.46    3.34       0
    67108864       4194304     float     sum      -1  15151.4    4.43    3.32       0  15160.7    4.43    3.32       0
   134217728       8388608     float     sum      -1  31212.0    4.30    3.23       0  31205.4    4.30    3.23       0
   268435456      16777216     float     sum      -1  62640.8    4.29    3.21       0  62780.3    4.28    3.21       0
   536870912      33554432     float     sum      -1   137533    3.90    2.93       0   136412    3.94    2.95       0
  1073741824      67108864     float     sum      -1   316108    3.40    2.55       0   316332    3.39    2.55       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 1.55717 
#
# Collective test concluded: reduce_scatter_perf


### alltoall_perf  NCCL_P2P_LEVEL=SYS
# nccl-tests version 2.17.6 nccl-headers=22501 nccl-library=22703
# Collective test starting: alltoall_perf
# nThread 1 nGpus 4 minBytes 8 maxBytes 1073741824 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#  Rank  0 Group  0 Pid    152 on 81e86d6fb9c9 device  0 [0000:01:00] NVIDIA GeForce RTX 4090
#  Rank  1 Group  0 Pid    152 on 81e86d6fb9c9 device  1 [0000:81:00] NVIDIA GeForce RTX 4090
#  Rank  2 Group  0 Pid    152 on 81e86d6fb9c9 device  2 [0000:c1:00] NVIDIA GeForce RTX 4090
#  Rank  3 Group  0 Pid    152 on 81e86d6fb9c9 device  3 [0000:c2:00] NVIDIA GeForce RTX 4090
NCCL version 2.27.3+cuda12.9
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           0             0     float    none      -1    26.21    0.00    0.00       0    26.15    0.00    0.00    N/A
           0             0     float    none      -1    26.92    0.00    0.00       0    25.93    0.00    0.00    N/A
           0             0     float    none      -1    26.83    0.00    0.00       0    25.96    0.00    0.00    N/A
          64             4     float    none      -1    28.42    0.00    0.00       0    27.93    0.00    0.00    N/A
         128             8     float    none      -1    28.17    0.00    0.00       0    27.62    0.00    0.00    N/A
         256            16     float    none      -1    27.74    0.01    0.01       0    27.52    0.01    0.01    N/A
         512            32     float    none      -1    27.22    0.02    0.01       0    27.67    0.02    0.01    N/A
        1024            64     float    none      -1    27.61    0.04    0.03       0    27.35    0.04    0.03    N/A
        2048           128     float    none      -1    27.68    0.07    0.06       0    27.73    0.07    0.06    N/A
        4096           256     float    none      -1    27.72    0.15    0.11       0    27.74    0.15    0.11    N/A
        8192           512     float    none      -1    27.88    0.29    0.22       0    27.79    0.29    0.22    N/A
       16384          1024     float    none      -1    27.53    0.60    0.45       0    27.70    0.59    0.44    N/A
       32768          2048     float    none      -1    28.52    1.15    0.86       0    27.82    1.18    0.88    N/A
       65536          4096     float    none      -1    50.18    1.31    0.98       0    49.45    1.33    0.99    N/A
      131072          8192     float    none      -1    93.39    1.40    1.05       0    92.77    1.41    1.06    N/A
      262144         16384     float    none      -1    85.92    3.05    2.29       0    84.72    3.09    2.32    N/A
      524288         32768     float    none      -1   152.90    3.43    2.57       0   148.54    3.53    2.65    N/A
     1048576         65536     float    none      -1   277.36    3.78    2.84       0   281.03    3.73    2.80    N/A
     2097152        131072     float    none      -1   556.02    3.77    2.83       0   555.11    3.78    2.83    N/A
     4194304        262144     float    none      -1  1125.09    3.73    2.80       0  1117.94    3.75    2.81    N/A
     8388608        524288     float    none      -1  2267.33    3.70    2.77       0  2279.75    3.68    2.76    N/A
    16777216       1048576     float    none      -1  4552.76    3.69    2.76       0  4536.27    3.70    2.77    N/A
    33554432       2097152     float    none      -1  8014.08    4.19    3.14       0  7603.08    4.41    3.31    N/A
    67108864       4194304     float    none      -1  15710.8    4.27    3.20       0  16142.3    4.16    3.12    N/A
   134217728       8388608     float    none      -1  32224.6    4.17    3.12       0  31953.3    4.20    3.15    N/A
   268435456      16777216     float    none      -1  65807.2    4.08    3.06       0  65229.4    4.12    3.09    N/A
   536870912      33554432     float    none      -1   146351    3.67    2.75       0   144813    3.71    2.78    N/A
  1073741824      67108864     float    none      -1   334476    3.21    2.41       0   331159    3.24    2.43    N/A
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 1.44592 
#
# Collective test concluded: alltoall_perf


