### all_gather_perf  NCCL_P2P_LEVEL=SYS
# nccl-tests version 2.17.6 nccl-headers=22501 nccl-library=22703
# Collective test starting: all_gather_perf
# nThread 1 nGpus 8 minBytes 8 maxBytes 1073741824 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#  Rank  0 Group  0 Pid    258 on 488137c8fec6 device  0 [0000:17:00] NVIDIA GeForce RTX 4090
#  Rank  1 Group  0 Pid    258 on 488137c8fec6 device  1 [0000:6f:00] NVIDIA GeForce RTX 4090
#  Rank  2 Group  0 Pid    258 on 488137c8fec6 device  2 [0000:9b:00] NVIDIA GeForce RTX 4090
#  Rank  3 Group  0 Pid    258 on 488137c8fec6 device  3 [0000:c7:00] NVIDIA GeForce RTX 4090
#  Rank  4 Group  0 Pid    258 on 488137c8fec6 device  4 [0001:17:00] NVIDIA GeForce RTX 4090
#  Rank  5 Group  0 Pid    258 on 488137c8fec6 device  5 [0001:6f:00] NVIDIA GeForce RTX 4090
#  Rank  6 Group  0 Pid    258 on 488137c8fec6 device  6 [0001:9b:00] NVIDIA GeForce RTX 4090
#  Rank  7 Group  0 Pid    258 on 488137c8fec6 device  7 [0001:c7:00] NVIDIA GeForce RTX 4090
NCCL version 2.27.3+cuda12.9
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
        8192           256     float     sum      -1    33.98    0.24    0.21       0    34.03    0.24    0.21       0
       16384           512     float     sum      -1    33.90    0.48    0.42       0    34.71    0.47    0.41       0
       32768          1024     float     sum      -1    34.58    0.95    0.83       0    33.69    0.97    0.85       0
       65536          2048     float     sum      -1    35.07    1.87    1.63       0    34.71    1.89    1.65       0
      131072          4096     float     sum      -1    35.11    3.73    3.27       0    34.72    3.78    3.30       0
      262144          8192     float     sum      -1    36.86    7.11    6.22       0    36.36    7.21    6.31       0
      524288         16384     float     sum      -1    54.18    9.68    8.47       0    54.40    9.64    8.43       0
     1048576         32768     float     sum      -1    75.07   13.97   12.22       0    74.78   14.02   12.27       0
     2097152         65536     float     sum      -1   127.71   16.42   14.37       0   126.97   16.52   14.45       0
     4194304        131072     float     sum      -1   217.40   19.29   16.88       0   217.53   19.28   16.87       0
     8388608        262144     float     sum      -1   388.07   21.62   18.91       0   391.17   21.45   18.76       0
    16777216        524288     float     sum      -1   752.81   22.29   19.50       0   752.98   22.28   19.50       0
    33554432       1048576     float     sum      -1  1490.26   22.52   19.70       0  1490.06   22.52   19.70       0
    67108864       2097152     float     sum      -1  2968.99   22.60   19.78       0  2966.91   22.62   19.79       0
   134217728       4194304     float     sum      -1  5922.75   22.66   19.83       0  5924.98   22.65   19.82       0
   268435456       8388608     float     sum      -1  11820.9   22.71   19.87       0  11833.3   22.68   19.85       0
   536870912      16777216     float     sum      -1  23635.2   22.71   19.88       0  23648.1   22.70   19.86       0
  1073741824      33554432     float     sum      -1  47235.2   22.73   19.89       0  47237.7   22.73   19.89       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 7.93297 
#
# Collective test concluded: reduce_scatter_perf


### alltoall_perf  NCCL_P2P_LEVEL=SYS
# nccl-tests version 2.17.6 nccl-headers=22501 nccl-library=22703
# Collective test starting: alltoall_perf
# nThread 1 nGpus 8 minBytes 8 maxBytes 1073741824 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#  Rank  0 Group  0 Pid    364 on 488137c8fec6 device  0 [0000:17:00] NVIDIA GeForce RTX 4090
#  Rank  1 Group  0 Pid    364 on 488137c8fec6 device  1 [0000:6f:00] NVIDIA GeForce RTX 4090
#  Rank  2 Group  0 Pid    364 on 488137c8fec6 device  2 [0000:9b:00] NVIDIA GeForce RTX 4090
#  Rank  3 Group  0 Pid    364 on 488137c8fec6 device  3 [0000:c7:00] NVIDIA GeForce RTX 4090
#  Rank  4 Group  0 Pid    364 on 488137c8fec6 device  4 [0001:17:00] NVIDIA GeForce RTX 4090
#  Rank  5 Group  0 Pid    364 on 488137c8fec6 device  5 [0001:6f:00] NVIDIA GeForce RTX 4090
#  Rank  6 Group  0 Pid    364 on 488137c8fec6 device  6 [0001:9b:00] NVIDIA GeForce RTX 4090
#  Rank  7 Group  0 Pid    364 on 488137c8fec6 device  7 [0001:c7:00] NVIDIA GeForce RTX 4090
NCCL version 2.27.3+cuda12.9
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           0             0     float    none      -1    47.52    0.00    0.00       0    46.58    0.00    0.00    N/A
           0             0     float    none      -1    47.27    0.00    0.00       0    46.89    0.00    0.00    N/A
           0             0     float    none      -1    47.38    0.00    0.00       0    47.11    0.00    0.00    N/A
           0             0     float    none      -1    46.95    0.00    0.00       0    47.18    0.00    0.00    N/A
         128             4     float    none      -1    50.68    0.00    0.00       0    47.76    0.00    0.00    N/A
         256             8     float    none      -1    48.53    0.01    0.00       0    47.74    0.01    0.00    N/A
         512            16     float    none      -1    48.43    0.01    0.01       0    47.48    0.01    0.01    N/A
        1024            32     float    none      -1    47.90    0.02    0.02       0    47.93    0.02    0.02    N/A
        2048            64     float    none      -1    48.27    0.04    0.04       0    47.49    0.04    0.04    N/A
        4096           128     float    none      -1    48.46    0.08    0.07       0    48.00    0.09    0.07    N/A
        8192           256     float    none      -1    48.48    0.17    0.15       0    47.77    0.17    0.15    N/A
       16384           512     float    none      -1    49.42    0.33    0.29       0    49.07    0.33    0.29    N/A
       32768          1024     float    none      -1    57.68    0.57    0.50       0    56.25    0.58    0.51    N/A
       65536          2048     float    none      -1   110.35    0.59    0.52       0   109.45    0.60    0.52    N/A
      131072          4096     float    none      -1   215.78    0.61    0.53       0   213.07    0.62    0.54    N/A
      262144          8192     float    none      -1   421.94    0.62    0.54       0   433.45    0.60    0.53    N/A
      524288         16384     float    none      -1   426.63    1.23    1.08       0   425.43    1.23    1.08    N/A
     1048576         32768     float    none      -1   848.93    1.24    1.08       0   850.40    1.23    1.08    N/A
     2097152         65536     float    none      -1  1645.72    1.27    1.12       0  1640.41    1.28    1.12    N/A
     4194304        131072     float    none      -1  3096.68    1.35    1.19       0  3020.40    1.39    1.22    N/A
     8388608        262144     float    none      -1  5765.41    1.45    1.27       0  5676.25    1.48    1.29    N/A
